"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2024-04-08","101.2","0.63","6.09","Chapman, Aroldis",672761,547973,"strikeout","called_strike",,,,,9,"Wenceel Pérez called out on strikes.","R","R","L","PIT","DET","S",2,,0,2,2024,"1.08","1.15","0.59","1.7",592192,690993,663837,2,8,"Top",,,,,663698,,,-2.738074458610296,-147.01154334831966,-9.809697058587101,16.2270257263434,36.079993474952374,-13.35113564095359,"2.99","1.38",,,,"102.8",2232,"7.3",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"53.18",,,"0",1,0,0,,70,3,"Sinker",7,3,3,7,3,7,3,7,,,158,"0.044","-0.439"
"FS","2024-04-08","89.6","0.61","6.09","Chapman, Aroldis",672761,547973,,"foul",,,,,3,"Wenceel Pérez called out on strikes.","R","R","L","PIT","DET","S",,,0,1,2024,"0.2","-0.12","0.48","2.79",592192,690993,663837,2,8,"Top",,,,,663698,,,-0.7594675783901352,-130.5999884601131,-1.9869025717545021,2.490260823535865,25.800713419903186,-33.31922887496885,"3.3","1.5",196,"75.9",57,"91.5",1250,"7.2",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"53.29",,,,,,,,70,2,"Split-Finger",7,3,3,7,3,7,3,7,,,39,"0","-0.195"
"FF","2024-04-08","99.2","0.56","6.05","Chapman, Aroldis",672761,547973,,"foul",,,,,6,"Wenceel Pérez called out on strikes.","R","R","L","PIT","DET","S",,,0,0,2024,"0.32","1.43","0.28","2.63",592192,690993,663837,2,8,"Top",,,,,663698,,,-1.5181152227642278,-144.29822877889006,-7.340976928596324,4.807683438938419,34.92888065206917,-10.723493394043802,"3.3","1.5",221,"78.1",24,"100.3",2314,"7",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"53.48",,,,,,,,70,1,"4-Seam Fastball",7,3,3,7,3,7,3,7,,,159,"0","-0.149"
"SI","2024-04-08","100.9","0.6","6.19","Chapman, Aroldis",595879,547973,"strikeout","swinging_strike",,,,,3,"Javier Báez strikes out swinging.","R","R","L","PIT","DET","S",2,,0,2,2024,"0.92","1.33","0.7","3.47",592192,690993,663837,1,8,"Top",,,,,663698,,,-1.9756994519403577,-146.8988297674371,-5.4744140236290395,13.789105749290732,36.68454226567515,-11.794396245986949,"3.48","1.68",,,,"102.3",2380,"7.1",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"53.37",,,"0",1,0,0,,69,4,"Sinker",7,3,3,7,3,7,3,7,,,165,"0.055","-0.193"
"SI","2024-04-08","100.6","0.5","6.09","Chapman, Aroldis",595879,547973,,"foul",,,,,9,"Javier Báez strikes out swinging.","R","R","L","PIT","DET","S",,,0,2,2024,"1.25","1.11","0.51","1.86",592192,690993,663837,1,8,"Top",,,,,663698,,,-3.0106176171711563,-146.20859266155352,-9.125856939977782,18.66758999144379,36.66700278446367,-14.206774984125675,"3.48","1.68",193,"87.1",13,"102",2367,"7.3",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"53.25",,,,,,,,69,3,"Sinker",7,3,3,7,3,7,3,7,,,163,"0","0"
"SL","2024-04-08","86.3","0.28","6.22","Chapman, Aroldis",595879,547973,,"swinging_strike_blocked",,,,,13,"Javier Báez strikes out swinging.","R","R","L","PIT","DET","S",,,0,1,2024,"-0.88","0.56","-0.32","0.86",592192,690993,663837,1,8,"Top",,,,,663698,,,0.3802120457806331,-125.51199090918689,-7.850151047772411,-9.416500086519083,25.031330047983236,-24.86071407539739,"3.48","1.68",,,,"88.3",2175,"7.5",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"52.96",,,,,,,,69,2,"Slider",7,3,3,7,3,7,3,7,,,291,"0","-0.301"
"SL","2024-04-08","85.4","0.32","6.16","Chapman, Aroldis",595879,547973,,"called_strike",,,,,8,"Javier Báez strikes out swinging.","R","R","L","PIT","DET","S",,,0,0,2024,"-0.84","0.65","-0.27","1.68",592192,690993,663837,1,8,"Top",,,,,663698,,,0.30756323656651274,-124.3970402034419,-5.7154597488664685,-8.740639776803786,25.108421885852643,-24.490670000179378,"3.48","1.61",,,,"87.4",2107,"7.5",745520,547973,663698,642133,669707,663647,665833,668804,669261,656582,"52.97",,,,,,,,69,1,"Slider",7,3,3,7,3,7,3,7,,,236,"0","-0.061"
"SI","2024-04-06","100.6","0.44","6.04","Chapman, Aroldis",663624,547973,"strikeout","swinging_strike",,,,,13,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","S",2,,2,2,2024,"0.99","1.29","-1.03","1.62",683002,,,2,8,"Top",,,,,663698,,,-6.559328152073572,-146.11138086273752,-10.159212258552358,15.73588261987812,35.47145564948722,-11.439665994455591,"3.73","1.9",,,,"102.6",2340,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.98",,,"0",1,0,0,,60,6,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",168,"0.092","-0.265"
"SI","2024-04-06","99.5","0.55","6.05","Chapman, Aroldis",663624,547973,,"foul",,,,,5,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","S",,,2,2,2024,"0.97","1.3","-0.01","2.67",683002,,,2,8,"Top",,,,,663698,,,-3.931931835062864,-144.77909164438103,-7.078920619834051,14.623814190042328,34.54974193188759,-12.441565442279014,"3.73","1.9",217,"78.3",34,"101.6",2305,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.01",,,,,,,,60,5,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",148,"0","0"
"FF","2024-04-06","98.3","0.68","5.98","Chapman, Aroldis",663624,547973,,"called_strike",,,,,5,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","S",,,2,1,2024,"0.19","1.43","0.21","2.36",,,683002,2,8,"Top",,,,,663698,,,-1.7556142580711838,-143.00957883285173,-7.7977119026833455,2.996460111046655,33.78073901077335,-10.99508711078971,"3.6","1.79",,,,"100.2",2375,"7.4",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.12",,,,,,,,60,4,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",152,"-0.025","-0.082"
"FF","2024-04-06","99.2","0.69","6.05","Chapman, Aroldis",663624,547973,,"called_strike",,,,,7,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","S",,,2,0,2024,"0.19","1.51","-0.49","2.04",,,683002,2,8,"Top",,,,,663698,,,-3.7201498904429577,-144.15219020904271,-9.232824768448829,3.5417932257782843,34.930816097262976,-9.087818041635536,"3.41","1.63",,,,"100.8",2380,"7.3",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.18",,,,,,,,60,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",158,"0","-0.027"
"FF","2024-04-06","99.1","0.74","5.93","Chapman, Aroldis",663624,547973,,"ball",,,,,13,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","B",,,1,0,2024,"0.36","1.56","-0.96","1.78",,,683002,2,8,"Top",,,,,663698,,,-5.595493359156057,-143.91830581425194,-9.74571452833014,6.309727943711205,34.29701879262652,-8.410716652758461,"3.56","1.7",,,,"101",2404,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.03",,,,,,,,60,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",156,"0","0.041"
"FF","2024-04-06","99.5","0.52","6.04","Chapman, Aroldis",663624,547973,,"ball",,,,,13,"Ryan Mountcastle strikes out swinging.","R","R","L","PIT","BAL","B",,,0,0,2024,"0.29","1.26","-0.97","1.77",,,683002,2,8,"Top",,,,,663698,,,-4.870007536021837,-144.63935918899705,-9.422010994460878,5.253868103502234,35.0415526900792,-12.452970882784776,"3.54","1.64",,,,"101.3",2369,"7.4",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.08",,,,,,,,60,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",160,"0","0.007"
